weekday_averages,weekday_counts,weekday_totals,weekend_averages,weekend_counts,weekend_totals
220,49,10817,247,48,11863
245,62,15238,224,61,13678
291,63,18392,184,63,11632
180,57,10307,290,57,16559
206,59,12164,275,57,15697
243,53,12888,246,51,12558
263,62,16313,222,61,13590
201,59,11886,276,59,16284
259,62,16093,230,62,14309
267,62,16602,230,60,13851
265,71,18872,242,68,16513
285,57,16287,216,56,12126
272,71,19331,231,69,15946
258,50,12923,246,50,12341
240,81,19447,269,80,21574
284,73,20766,234,70,16387
314,62,19507,204,61,12494
292,56,16387,232,55,12795
291,85,24781,234,82,19263
322,66,21299,211,63,13324
265,59,15685,265,57,15146
265,77,20422,263,76,20027
243,64,15588,295,61,17995
313,69,21621,229,67,15402
245,89,21869,284,89,25312
268,70,18804,274,69,18914
368,69,25434,187,66,12357
274,60,16481,281,58,16346
334,85,28464,230,79,18240
244,74,18061,307,72,22162
349,76,26573,210,75,15803
252,71,17934,307,70,21559
275,76,20902,293,75,22008
258,78,20179,307,76,23352
348,56,19516,223,54,12079
292,78,22789,279,77,21544
334,75,25121,241,74,17857
308,63,19420,272,62,16887
227,68,15469,342,68,23323
329,71,23419,264,70,18481
274,81,22272,318,79,25147
318,70,22291,280,67,18766
305,93,28386,287,92,26418
330,75,24802,268,75,20151
371,77,28567,238,74,17615
364,83,30237,245,81,19884
363,76,27625,248,74,18363
297,86,25591,312,85,26532
338,99,33515,285,96,27425
261,78,20409,350,78,27335
323,92,29779,299,91,27213
333,74,24700,287,74,21299
349,97,33870,285,94,26835
326,82,26763,301,81,24383
367,85,31211,267,85,22771
306,83,25439,328,82,26950
355,67,23830,289,66,19135
311,118,36794,338,114,38570
326,105,34308,328,101,33188
399,96,38321,255,94,24040
317,83,26353,329,82,27047
300,69,20736,353,68,24046
299,111,33286,359,109,39239
355,96,34081,311,93,28954
338,86,29133,321,86,27607
403,98,39526,269,97,26176
367,93,34169,309,91,28181
344,111,38212,326,111,36295
361,94,33965,318,93,29608
283,86,24422,399,84,33538
343,98,33711,338,98,33195
280,111,31124,402,111,44639
352,98,34505,337,97,32710
342,73,24967,351,72,25340
338,100,33849,362,99,35879
382,98,37523,323,98,31679
327,103,33709,376,101,38029
407,103,41966,301,103,31097
376,87,32793,336,86,28938
326,110,35932,382,110,42029
330,94,31054,386,94,36354
314,99,31122,418,95,39757
387,79,30614,337,79,26663
351,106,37225,380,104,39591
307,98,30159,422,97,40983
349,65,22686,389,64,24898
404,94,38000,343,92,31633
368,95,34992,386,92,35600
318,112,35692,427,112,47902
370,87,32263,379,87,33052
476,96,45697,284,96,27348
432,80,34565,323,80,25846
441,99,43697,333,97,32327
417,98,40920,349,98,34216
448,88,39480,337,84,28384
384,97,37256,388,96,37270
456,98,44775,330,97,32069
357,109,38996,421,107,45072
438,107,46874,355,105,37300
434,97,42189,359,96,34520
362,109,39519,426,107,45675
476,107,50943,329,106,34961
398,103,41088,405,101,40958
448,101,45254,355,101,35881
513,90,46172,306,88,26990
398,83,33070,416,81,33754
500,95,47540,329,91,29953
419,97,40683,396,97,38420
335,105,35272,480,104,49942
458,98,44897,369,98,36187
497,94,46802,351,90,31611
409,113,46266,421,113,47628
384,140,53828,447,138,61725
485,112,54393,360,112,40326
492,129,63511,360,128,46120
433,106,45985,411,105,43219
464,118,54846,389,117,45606
394,101,39815,469,98,46037
403,118,47661,454,116,52754
471,130,61258,399,128,51139
507,112,56823,365,111,40603
440,140,61646,432,138,59724
509,141,71883,371,140,52018
505,128,64661,383,125,47936
436,147,64230,441,147,64924
438,117,51276,448,117,52455
446,140,62537,451,137,61886
443,120,53276,456,117,53448
541,133,72045,364,132,48130
470,154,72383,433,154,66692
444,139,61848,461,139,64101
451,148,66777,464,146,67779
447,146,65262,466,146,68167
467,146,68258,455,145,66052
456,141,64348,459,141,64813
501,147,73670,430,146,62840
465,169,78654,466,168,78332
486,155,75389,453,154,69780
486,167,81322,453,166,75249
459,173,79413,492,169,83204
534,172,91929,423,170,72006
529,152,80495,434,149,64701
488,188,91759,465,188,87595
475,180,85538,476,180,85791
536,186,99713,434,185,80338
573,169,96866,405,167,67747
521,173,90157,452,173,78205
494,177,87576,490,173,84934
484,178,86328,495,178,88272
552,166,91663,438,166,72785
482,202,97382,516,198,102322
500,193,96627,492,192,94607
532,199,106024,465,198,92251
441,184,81168,554,183,101408
484,199,96368,524,197,103310
514,165,84818,499,164,81907
434,171,74341,568,171,97151
510,171,87229,506,171,86632
551,178,98136,475,177,84094
527,173,91335,506,171,86542
609,173,105428,428,173,74204
492,170,83747,554,166,91994
510,163,83186,533,160,85360
504,184,92811,539,183,98809
511,152,77714,535,151,80902
621,141,87606,437,141,61656
530,156,82735,525,156,81966
480,175,84005,571,175,100017
472,154,72756,590,153,90416
556,162,90077,513,162,83109
516,161,83171,559,159,88895
517,173,89498,557,173,96393
590,154,90887,497,153,76063
521,164,85500,566,164,92869
602,138,83179,495,137,67856
532,145,77180,564,144,81315
669,148,99148,447,146,65355
597,140,83643,506,139,70453
560,125,70081,537,125,67158
577,131,75693,542,130,70520
628,139,87296,489,139,68027
571,139,79480,550,138,76015
634,122,77447,494,121,59844
562,134,75323,563,133,74959
674,142,95776,464,142,65920
545,144,78591,590,143,84397
590,119,70268,550,119,65495
611,126,77084,540,125,67603
646,129,83338,512,127,65141
581,120,69813,571,119,68050
642,115,73880,515,115,59321
497,107,53203,674,107,72141
612,82,50248,551,82,45238
683,95,64948,501,93,46621
559,97,54231,610,97,59237
592,112,66403,606,108,65515
570,94,53588,608,94,57180
650,118,76776,547,116,63454
572,103,59005,623,102,63549
669,103,68913,533,103,54958
619,119,73739,590,117,69055
708,97,68732,514,96,49384
682,103,70297,547,99,54179
